Geneid	./SRR15174659	./SRR15174661	./SRR15174663	./SRR15174670	./SRR15174671	./SRR15174672
AF52_02072	379	206	349	409	280	744
AF52_02073	249	73	259	507	229	657
AF52_02074	255	110	168	855	894	1085
AF52_02075	110	46	49	227	90	183
AF52_02076	435	402	388	393	445	776
AF52_02077	193	142	338	432	370	587
AF52_02078	308	256	270	700	488	987
AF52_02079	12146	6511	11516	19610	16819	25828
AF52_02080	2121	1591	1675	3799	3162	5483
AF52_02081	1371	408	1170	2915	2434	4078
AF52_02082	2283	1030	1783	3747	3715	5542
AF52_02083	1294	504	1165	1484	1151	1336
AF52_02084	1041	423	627	1263	987	1862
AF52_02085	1165	558	712	6845	6796	10262
AF52_02086	40251	32419	40428	41877	50299	70803
AF52_02087	1309	791	1113	1528	1331	2122
AF52_02088	699	346	632	521	492	486
AF52_02089	1323	754	1025	1653	1289	1926
AF52_02090	11529	5737	9601	6061	4543	7657
AF52_02091	837	278	578	493	541	837
AF52_02092	2009	814	1138	2460	1805	2821
AF52_02093	17594	10187	13919	30438	29184	45010
AF52_02094	5249	2234	3948	1473	1676	2134
AF52_02095	5281	2602	4524	3038	2461	4229
AF52_02096	3011	1088	1868	436	454	615
AF52_02097	5829	2896	5126	2004	1778	2659
AF52_02098	2310	1106	2290	1507	1421	2298
AF52_02099	1183	483	1197	934	840	1201
AF52_02100	1175	492	1164	742	625	860
AF52_02101	1968	1088	1764	236	269	275
AF52_02102	3703	1773	3365	1097	830	1588
AF52_02103	2773	1423	2483	1132	1033	1307
AF52_02104	7860	4899	6950	6406	5547	8736
AF52_02105	298	60	169	646	486	754
AF52_02106	583	159	438	621	941	1048
AF52_02107	103	117	171	425	126	536
AF52_02108	266	209	295	361	299	417
AF52_02109	203	190	156	659	322	616
AF52_02110	330	215	313	652	849	1091
AF52_02111	2407	1916	2425	6856	6589	9030
AF52_02112	5929	2543	4272	2100	1710	2659
AF52_02113	3494	2006	3293	2152	1520	3258
AF52_02114	708	364	835	776	472	752
AF52_02115	1589	829	1252	2196	1734	2891
AF52_02116	4078	2256	3109	4131	4168	6291
AF52_02117	821	703	909	1624	1681	2135
AF52_02118	11336	7905	11270	9752	7486	10382
