"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AF52_02709",241.045471490886,0.138795507692348,0.333961034767354,0.415603897589538,0.677699874159257,0.749681806810891
"AF52_01608",3422.17126956287,0.0553631475662552,0.133460286345582,0.414828628667092,0.67826736029572,0.750020824358624
"AF52_00327",21.3890567812982,-0.645967667425736,1.56859951469179,-0.411811722096995,0.680477428863283,0.752114955071757
"AF52_01849",1490.81804721635,0.0647438247666479,0.157141732898291,0.412009105235926,0.680332749463402,0.752114955071757
"AF52_04486",813.800979004664,-0.0901428604671872,0.219881105871685,-0.409961829643477,0.681833948137383,0.753439186185268
"AF52_03882",2803.33027084353,0.0458618755661642,0.11212161747646,0.409036870840654,0.682512603177768,0.754013923510677
"AF52_00241",128.074251897657,0.15495276577072,0.379581556281025,0.408219954859977,0.683112199291661,0.754501072882289
"AF52_03913",745.235217663095,0.0935626201543572,0.229715022178706,0.40729865755828,0.683788648645132,0.755072861146099
"AF52_02331",493.017811100438,-0.107988857003044,0.265801756583446,-0.406275934332066,0.684539865854761,0.755726927113566
"AF52_00232",18.4802677143115,-0.489140574532799,1.20669931601592,-0.405354149157691,0.685217208921792,0.756230805083507
"AF52_03054",27688.1801403254,0.038486038595857,0.0949813206696332,0.40519586719288,0.685333542618875,0.756230805083507
"AF52_03928",848.609595831071,0.083149705851364,0.205305009602983,0.405005732749328,0.685473297038478,0.756230805083507
"AF52_00324",31.9915753409258,-0.401966517163571,0.993570745792791,-0.404567585011608,0.685795389507533,0.756410684716564
"AF52_04458",930.215500726793,0.068634100580005,0.170042029902489,0.403630212009133,0.686484665624793,0.756995379019595
"AF52_04102",232.501746505604,0.124602440030745,0.308932473700931,0.403332283388795,0.686703795373533,0.757061486044628
"AF52_01295",854.895952540151,0.06938477654966,0.172311686875484,0.402670171755668,0.687190879966002,0.757422902692539
"AF52_00006",98.3711560110671,-0.249507933579209,0.622668634575849,-0.400707406354536,0.688635557257423,0.758663588213181
"AF52_00548",214.045337039729,0.131967670838629,0.329175303479803,0.400903923968664,0.688490860804212,0.758663588213181
"AF52_04020",888.777346331572,-0.0665062938622176,0.16641266531672,-0.399646828176458,0.689416660422607,0.759348225328837
"AF52_02774",233.217331155858,-0.124058807449259,0.310782393915564,-0.399182224855905,0.689758939570221,0.759549320814071
"AF52_03244",450.383293622703,0.0884204313607514,0.221985530558051,0.398316192674678,0.690397125855532,0.760076095039099
"AF52_04242",46.7060993649601,0.268378339836822,0.675862431313279,0.397090187888284,0.691300955323902,0.760895011228993
"AF52_01538",124.87128340941,0.267727658181462,0.675025006272747,0.396618874402536,0.691648532012604,0.761101438744087
"AF52_03032",20792.5343221431,-0.0379319671501442,0.0957196490807497,-0.396281928678453,0.691897057161738,0.761120613086751
"AF52_04135",60.6476082389761,0.297674622591864,0.751397493161988,0.396161319808517,0.691986024177273,0.761120613086751
"AF52_02003",1014.3216572087,-0.0599342284212885,0.151450034343739,-0.395735984352824,0.692299806384769,0.761289683044153
"AF52_00156",243.826527607645,-0.147496211100304,0.37297770806809,-0.395455835321337,0.69250650924404,0.761340951910461
"AF52_00266",964.350264594733,-0.0652503029867741,0.165182858790815,-0.395018608252846,0.69282915502806,0.76140144843899
"AF52_04346",340.483997295772,-0.114705662820967,0.290432772710554,-0.394947380594969,0.692881721792252,0.76140144843899
"AF52_02060",41.6332882332996,-0.358972754026446,0.913367078214886,-0.393021341132673,0.694303719160861,0.762787823591835
"AF52_00026",37.4769292399417,-0.424048949999359,1.08441989163809,-0.391037598322549,0.695769444635584,0.763262958059313
"AF52_00030",74.6010611583046,0.228677512267831,0.583465089921762,0.391930067827185,0.695109885808257,0.763262958059313
"AF52_00057",189.434747150629,-0.151643408409594,0.387918488515136,-0.390915650836986,0.695859584975858,0.763262958059313
"AF52_00461",318.929583259794,-0.121545903727105,0.310668001025042,-0.391240498944426,0.695619475414542,0.763262958059313
"AF52_00878",157.956116683504,0.175489098316086,0.448444598954699,0.391328379748896,0.695554524079845,0.763262958059313
"AF52_02199",3805.54222773702,0.0390408876199033,0.099679657120881,0.391663542467432,0.69530683103913,0.763262958059313
"AF52_02374",956.658274274713,-0.0919598620732438,0.235119989966063,-0.391118858445499,0.69570938169871,0.763262958059313
"AF52_03769",451.596230145895,-0.106286784478049,0.272190336634544,-0.390486987128992,0.696176475889804,0.763434475289811
"AF52_02092",1677.80301233705,-0.0649313306156,0.167180277263575,-0.388391093006922,0.697726634663025,0.764958016241897
"AF52_04555",2219.60324874909,-0.0477174730481104,0.12300467929355,-0.387932177232323,0.698066225206517,0.765153944937127
"AF52_03999",974.240022485251,0.0670036116358274,0.173068305303416,0.387151255213135,0.698644234317977,0.765611054934631
"AF52_03238",37.4299881315675,-1.44373028352652,3.73252216979884,-0.386797510597058,0.698906120315649,0.765721609818297
"AF52_02873",978.456180422532,-0.0583069039389499,0.152817795468974,-0.381545249753245,0.702798701432278,0.769808987566079
"AF52_01945",55.0770297571084,0.256778019293575,0.673600696130483,0.381202128751711,0.703053269652727,0.769910511275241
"AF52_02061",72.5721805266259,0.209767635170425,0.551098826388879,0.38063524203988,0.703473926997537,0.770186807730678
"AF52_03691",577.154433131679,0.0981000908419839,0.257869264180616,0.380425682578723,0.70362945323587,0.770186807730678
"AF52_00542",605.65400605837,0.0782894246407248,0.206946815359885,0.37830697952311,0.705202561134552,0.771731104637811
"AF52_01921",421.011658377599,-0.101318307567614,0.268844134887211,-0.376866349009697,0.706272930299549,0.772724650679699
"AF52_02311",1865.47532559393,-0.0574387969700825,0.152524928249869,-0.37658629070774,0.706481077409123,0.772774609971893
"AF52_01545",566.720204105058,0.0933374175370459,0.248606522743224,0.375442351661266,0.707331512512753,0.773526942632939
"AF52_00441",538.634130329821,0.0865083103095049,0.231657107974384,0.373432574834141,0.708826518901638,0.77498366066579
"AF52_01118",193.462342883216,0.143746743828622,0.386471338734128,0.371946712269684,0.709932524802106,0.776014499645786
"AF52_00378",4144.32421678542,0.049832664023482,0.134168024502337,0.371419823824075,0.710324862624109,0.776264946378737
"AF52_01616",1628.0177237007,0.0718342027723308,0.194012164689548,0.370256178973508,0.71119162135495,0.777033620759049
"AF52_04637",3311.87804929153,-0.0486783634312171,0.131629395422621,-0.369813773549032,0.711521251881298,0.777215221393535
"AF52_00487",184.86229957312,-0.131507061408155,0.355915203876367,-0.369489867181499,0.711762624504638,0.777300354108854
"AF52_01970",47.0227891429966,0.269211072634508,0.731551918566339,0.367999954346501,0.71287326823121,0.778155901700168
"AF52_04402",64.3358669608272,0.29228391662013,0.794099246053051,0.368069757115225,0.712821220693111,0.778155901700168
"AF52_00090",131.922007378218,-0.14509035563116,0.396314927070294,-0.366098639543359,0.71429147264245,0.779474816966918
"AF52_00093",489.513752466546,0.0905184338956171,0.247358198205374,0.365940706846766,0.71440932026047,0.779474816966918
"AF52_01817",557.00480704073,-0.0826175279405448,0.227122450618765,-0.363757645778585,0.716038992746957,0.78107372695058
"AF52_00958",266.826888976003,0.108739717834505,0.300360610780436,0.362030552381565,0.717329199338539,0.782301690450376
"AF52_04062",863.716366260904,-0.0667319166769737,0.184552746845831,-0.36158723084582,0.717660508222467,0.782483580262735
"AF52_03945",956.069175324127,0.0710216601606289,0.196597749823803,0.361253677746977,0.717909818531236,0.782576002047802
"AF52_04403",55.8217942965912,-0.221718867406808,0.614837364108484,-0.360613847416871,0.718388136191998,0.782917959607961
"AF52_00458",154.898231513088,-0.168285157840407,0.471450964849756,-0.356951561004944,0.72112806873596,0.785460311717394
"AF52_02947",265.631723990348,-0.132084508889783,0.37008255343716,-0.356905527329083,0.721162531618175,0.785460311717394
"AF52_03116",4584.98339271435,0.0404601930515831,0.113456866796658,0.356612994822935,0.721381547851467,0.785460311717394
"AF52_04052",993.252692842379,-0.055480609491838,0.155560405480223,-0.356649941356006,0.721353885081609,0.785460311717394
"AF52_04656",2636.40644522873,-0.047856628132109,0.13452082537578,-0.355756277873131,0.722023094857678,0.785978905732002
"AF52_00904",165.734142913737,0.121415722365255,0.342741650662687,0.354248519637165,0.723152644660508,0.786848313430651
"AF52_01005",539.37561874681,-0.0781605694643704,0.220542292646324,-0.354401727335417,0.723037840238123,0.786848313430651
"AF52_04647",99.9263394578694,0.214551082706994,0.606814522986862,0.353569459166749,0.72366156577633,0.787221959476721
"AF52_01252",2782.0844734126,-0.0470303834257728,0.133172766160279,-0.353153161729552,0.72397361986416,0.787381325422809
"AF52_00727",228.636537640655,0.119139123668408,0.340335607417411,0.350063646212273,0.726290932927257,0.78972100525881
"AF52_02855",961.951219414681,-0.055487323048679,0.15931398233658,-0.348289097007517,0.727623081203493,0.790988656960872
"AF52_01564",3902.9353101843,0.0392135239680063,0.112762085043494,0.347754512989727,0.728024553269196,0.791244235682884
"AF52_03437",1602.09099499588,-0.0653582319779699,0.188223033070265,-0.347238225374741,0.728412355609601,0.791484844249317
"AF52_03574",1223.23301268184,0.0595525895070403,0.171616946327764,0.347008793603071,0.728584712448782,0.791491295661582
